sku,product_name,category,fabric,color,size,price_inr,special_offer,product_details
VAS-WOM-071,Tussar Silk Festive Saree in Maroon,Women Ethnic - Saree,Tussar,Maroon,Free Size (Semi-Stitched),"10,031",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Tussar | Color: Maroon | Available Sizes: Free Size (Semi-Stitched) | Price: INR 10,031 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-072,Tussar Silk Festive Saree in Pastel Pink,Women Ethnic - Saree,Tussar,Pastel Pink,"S, M, L, XL, XXL, 3XL","5,491",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Tussar | Color: Pastel Pink | Available Sizes: S, M, L, XL, XXL, 3XL | Price: INR 5,491 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-073,Tussar Silk Festive Saree in Emerald Green,Women Ethnic - Saree,Tussar,Emerald Green,"S, M, L, XL, XXL, 3XL","8,967",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Tussar | Color: Emerald Green | Available Sizes: S, M, L, XL, XXL, 3XL | Price: INR 8,967 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-074,Tussar Silk Festive Saree in Royal Blue,Women Ethnic - Saree,Tussar,Royal Blue,"XS, S, M, L, XL","3,321",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Tussar | Color: Royal Blue | Available Sizes: XS, S, M, L, XL | Price: INR 3,321 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-075,Tussar Silk Festive Saree in Mustard Yellow,Women Ethnic - Saree,Tussar,Mustard Yellow,"S, M, L, XL, XXL, 3XL","6,025",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Tussar | Color: Mustard Yellow | Available Sizes: S, M, L, XL, XXL, 3XL | Price: INR 6,025 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-076,Tussar Silk Festive Saree in Ivory White,Women Ethnic - Saree,Tussar,Ivory White,Free Size (Semi-Stitched),"9,713",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Tussar | Color: Ivory White | Available Sizes: Free Size (Semi-Stitched) | Price: INR 9,713 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-077,Tussar Silk Festive Saree in Wine Burgundy,Women Ethnic - Saree,Tussar,Wine Burgundy,Free Size (Semi-Stitched),"9,950",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Tussar | Color: Wine Burgundy | Available Sizes: Free Size (Semi-Stitched) | Price: INR 9,950 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-078,Tussar Silk Festive Saree in Teal Green,Women Ethnic - Saree,Tussar,Teal Green,"XS, S, M, L, XL","6,864",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Tussar | Color: Teal Green | Available Sizes: XS, S, M, L, XL | Price: INR 6,864 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-079,Tussar Silk Festive Saree in Gold Metallic,Women Ethnic - Saree,Tussar,Gold Metallic,"M, L, XL, XXL","10,695",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Tussar | Color: Gold Metallic | Available Sizes: M, L, XL, XXL | Price: INR 10,695 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-080,Tussar Silk Festive Saree in Navy Blue,Women Ethnic - Saree,Tussar,Navy Blue,"XS, S, M, L, XL","8,697",Free Fall Piko & Unstitched Blouse Piece,"Fabric: Tussar | Color: Navy Blue | Available Sizes: XS, S, M, L, XL | Price: INR 8,697 | Offer: Free Fall Piko & Unstitched Blouse Piece | Delivery: 3-5 Business Days"
VAS-WOM-081,Bridal Velvet Heavy Zardozi Lehenga in Maroon,Women Ethnic - Lehenga,Royal Velvet,Maroon,"M, L, XL, XXL","36,107",Flat 15% Festive Discount + Free Latkan,"Fabric: Royal Velvet | Color: Maroon | Available Sizes: M, L, XL, XXL | Price: INR 36,107 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-082,Bridal Velvet Heavy Zardozi Lehenga in Pastel Pink,Women Ethnic - Lehenga,Royal Velvet,Pastel Pink,"M, L, XL, XXL","19,655",Flat 15% Festive Discount + Free Latkan,"Fabric: Royal Velvet | Color: Pastel Pink | Available Sizes: M, L, XL, XXL | Price: INR 19,655 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-083,Bridal Velvet Heavy Zardozi Lehenga in Emerald Green,Women Ethnic - Lehenga,Royal Velvet,Emerald Green,"M, L, XL, XXL","46,377",Flat 15% Festive Discount + Free Latkan,"Fabric: Royal Velvet | Color: Emerald Green | Available Sizes: M, L, XL, XXL | Price: INR 46,377 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-084,Bridal Velvet Heavy Zardozi Lehenga in Royal Blue,Women Ethnic - Lehenga,Royal Velvet,Royal Blue,Free Size (Semi-Stitched),"26,993",Flat 15% Festive Discount + Free Latkan,"Fabric: Royal Velvet | Color: Royal Blue | Available Sizes: Free Size (Semi-Stitched) | Price: INR 26,993 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-085,Bridal Velvet Heavy Zardozi Lehenga in Mustard Yellow,Women Ethnic - Lehenga,Royal Velvet,Mustard Yellow,"XS, S, M, L, XL","25,290",Flat 15% Festive Discount + Free Latkan,"Fabric: Royal Velvet | Color: Mustard Yellow | Available Sizes: XS, S, M, L, XL | Price: INR 25,290 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-086,Bridal Velvet Heavy Zardozi Lehenga in Ivory White,Women Ethnic - Lehenga,Royal Velvet,Ivory White,"S, M, L, XL, XXL, 3XL","28,121",Flat 15% Festive Discount + Free Latkan,"Fabric: Royal Velvet | Color: Ivory White | Available Sizes: S, M, L, XL, XXL, 3XL | Price: INR 28,121 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-087,Bridal Velvet Heavy Zardozi Lehenga in Wine Burgundy,Women Ethnic - Lehenga,Royal Velvet,Wine Burgundy,"XS, S, M, L, XL","39,477",Flat 15% Festive Discount + Free Latkan,"Fabric: Royal Velvet | Color: Wine Burgundy | Available Sizes: XS, S, M, L, XL | Price: INR 39,477 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-088,Bridal Velvet Heavy Zardozi Lehenga in Teal Green,Women Ethnic - Lehenga,Royal Velvet,Teal Green,Custom Tailored Available,"34,515",Flat 15% Festive Discount + Free Latkan,"Fabric: Royal Velvet | Color: Teal Green | Available Sizes: Custom Tailored Available | Price: INR 34,515 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-089,Bridal Velvet Heavy Zardozi Lehenga in Gold Metallic,Women Ethnic - Lehenga,Royal Velvet,Gold Metallic,Custom Tailored Available,"21,751",Flat 15% Festive Discount + Free Latkan,"Fabric: Royal Velvet | Color: Gold Metallic | Available Sizes: Custom Tailored Available | Price: INR 21,751 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-090,Bridal Velvet Heavy Zardozi Lehenga in Navy Blue,Women Ethnic - Lehenga,Royal Velvet,Navy Blue,Free Size (Semi-Stitched),"23,383",Flat 15% Festive Discount + Free Latkan,"Fabric: Royal Velvet | Color: Navy Blue | Available Sizes: Free Size (Semi-Stitched) | Price: INR 23,383 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-091,Pastel Pink Georgette Sangeet Lehenga in Maroon,Women Ethnic - Lehenga,Georgette,Maroon,"XS, S, M, L, XL","12,059",Flat 15% Festive Discount + Free Latkan,"Fabric: Georgette | Color: Maroon | Available Sizes: XS, S, M, L, XL | Price: INR 12,059 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-092,Pastel Pink Georgette Sangeet Lehenga in Pastel Pink,Women Ethnic - Lehenga,Georgette,Pastel Pink,"XS, S, M, L, XL","23,391",Flat 15% Festive Discount + Free Latkan,"Fabric: Georgette | Color: Pastel Pink | Available Sizes: XS, S, M, L, XL | Price: INR 23,391 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-093,Pastel Pink Georgette Sangeet Lehenga in Emerald Green,Women Ethnic - Lehenga,Georgette,Emerald Green,Custom Tailored Available,"25,247",Flat 15% Festive Discount + Free Latkan,"Fabric: Georgette | Color: Emerald Green | Available Sizes: Custom Tailored Available | Price: INR 25,247 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-094,Pastel Pink Georgette Sangeet Lehenga in Royal Blue,Women Ethnic - Lehenga,Georgette,Royal Blue,Free Size (Semi-Stitched),"25,447",Flat 15% Festive Discount + Free Latkan,"Fabric: Georgette | Color: Royal Blue | Available Sizes: Free Size (Semi-Stitched) | Price: INR 25,447 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-095,Pastel Pink Georgette Sangeet Lehenga in Mustard Yellow,Women Ethnic - Lehenga,Georgette,Mustard Yellow,Free Size (Semi-Stitched),"29,273",Flat 15% Festive Discount + Free Latkan,"Fabric: Georgette | Color: Mustard Yellow | Available Sizes: Free Size (Semi-Stitched) | Price: INR 29,273 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-096,Pastel Pink Georgette Sangeet Lehenga in Ivory White,Women Ethnic - Lehenga,Georgette,Ivory White,"XS, S, M, L, XL","20,757",Flat 15% Festive Discount + Free Latkan,"Fabric: Georgette | Color: Ivory White | Available Sizes: XS, S, M, L, XL | Price: INR 20,757 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-097,Pastel Pink Georgette Sangeet Lehenga in Wine Burgundy,Women Ethnic - Lehenga,Georgette,Wine Burgundy,"S, M, L, XL, XXL, 3XL","17,394",Flat 15% Festive Discount + Free Latkan,"Fabric: Georgette | Color: Wine Burgundy | Available Sizes: S, M, L, XL, XXL, 3XL | Price: INR 17,394 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-098,Pastel Pink Georgette Sangeet Lehenga in Teal Green,Women Ethnic - Lehenga,Georgette,Teal Green,"M, L, XL, XXL","12,469",Flat 15% Festive Discount + Free Latkan,"Fabric: Georgette | Color: Teal Green | Available Sizes: M, L, XL, XXL | Price: INR 12,469 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-099,Pastel Pink Georgette Sangeet Lehenga in Gold Metallic,Women Ethnic - Lehenga,Georgette,Gold Metallic,"M, L, XL, XXL","26,836",Flat 15% Festive Discount + Free Latkan,"Fabric: Georgette | Color: Gold Metallic | Available Sizes: M, L, XL, XXL | Price: INR 26,836 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-100,Pastel Pink Georgette Sangeet Lehenga in Navy Blue,Women Ethnic - Lehenga,Georgette,Navy Blue,"M, L, XL, XXL","28,204",Flat 15% Festive Discount + Free Latkan,"Fabric: Georgette | Color: Navy Blue | Available Sizes: M, L, XL, XXL | Price: INR 28,204 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-101,Emerald Green Silk Reception Lehenga in Maroon,Women Ethnic - Lehenga,Raw Silk,Maroon,"XS, S, M, L, XL","28,394",Flat 15% Festive Discount + Free Latkan,"Fabric: Raw Silk | Color: Maroon | Available Sizes: XS, S, M, L, XL | Price: INR 28,394 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-102,Emerald Green Silk Reception Lehenga in Pastel Pink,Women Ethnic - Lehenga,Raw Silk,Pastel Pink,Custom Tailored Available,"21,022",Flat 15% Festive Discount + Free Latkan,"Fabric: Raw Silk | Color: Pastel Pink | Available Sizes: Custom Tailored Available | Price: INR 21,022 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-103,Emerald Green Silk Reception Lehenga in Emerald Green,Women Ethnic - Lehenga,Raw Silk,Emerald Green,"XS, S, M, L, XL","16,709",Flat 15% Festive Discount + Free Latkan,"Fabric: Raw Silk | Color: Emerald Green | Available Sizes: XS, S, M, L, XL | Price: INR 16,709 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-104,Emerald Green Silk Reception Lehenga in Royal Blue,Women Ethnic - Lehenga,Raw Silk,Royal Blue,Custom Tailored Available,"39,353",Flat 15% Festive Discount + Free Latkan,"Fabric: Raw Silk | Color: Royal Blue | Available Sizes: Custom Tailored Available | Price: INR 39,353 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-105,Emerald Green Silk Reception Lehenga in Mustard Yellow,Women Ethnic - Lehenga,Raw Silk,Mustard Yellow,Free Size (Semi-Stitched),"34,389",Flat 15% Festive Discount + Free Latkan,"Fabric: Raw Silk | Color: Mustard Yellow | Available Sizes: Free Size (Semi-Stitched) | Price: INR 34,389 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-106,Emerald Green Silk Reception Lehenga in Ivory White,Women Ethnic - Lehenga,Raw Silk,Ivory White,"M, L, XL, XXL","20,910",Flat 15% Festive Discount + Free Latkan,"Fabric: Raw Silk | Color: Ivory White | Available Sizes: M, L, XL, XXL | Price: INR 20,910 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-107,Emerald Green Silk Reception Lehenga in Wine Burgundy,Women Ethnic - Lehenga,Raw Silk,Wine Burgundy,"S, M, L, XL, XXL, 3XL","19,937",Flat 15% Festive Discount + Free Latkan,"Fabric: Raw Silk | Color: Wine Burgundy | Available Sizes: S, M, L, XL, XXL, 3XL | Price: INR 19,937 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-108,Emerald Green Silk Reception Lehenga in Teal Green,Women Ethnic - Lehenga,Raw Silk,Teal Green,Free Size (Semi-Stitched),"33,374",Flat 15% Festive Discount + Free Latkan,"Fabric: Raw Silk | Color: Teal Green | Available Sizes: Free Size (Semi-Stitched) | Price: INR 33,374 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-109,Emerald Green Silk Reception Lehenga in Gold Metallic,Women Ethnic - Lehenga,Raw Silk,Gold Metallic,Custom Tailored Available,"23,340",Flat 15% Festive Discount + Free Latkan,"Fabric: Raw Silk | Color: Gold Metallic | Available Sizes: Custom Tailored Available | Price: INR 23,340 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-110,Emerald Green Silk Reception Lehenga in Navy Blue,Women Ethnic - Lehenga,Raw Silk,Navy Blue,Custom Tailored Available,"34,711",Flat 15% Festive Discount + Free Latkan,"Fabric: Raw Silk | Color: Navy Blue | Available Sizes: Custom Tailored Available | Price: INR 34,711 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-111,Mirror Work Navratri Chaniya Choli in Maroon,Women Ethnic - Lehenga,Cotton Rayon,Maroon,"S, M, L, XL, XXL, 3XL","5,478",Free Express Shipping Across India,"Fabric: Cotton Rayon | Color: Maroon | Available Sizes: S, M, L, XL, XXL, 3XL | Price: INR 5,478 | Offer: Free Express Shipping Across India | Delivery: 3-5 Business Days"
VAS-WOM-112,Mirror Work Navratri Chaniya Choli in Pastel Pink,Women Ethnic - Lehenga,Cotton Rayon,Pastel Pink,"XS, S, M, L, XL","7,457",Free Express Shipping Across India,"Fabric: Cotton Rayon | Color: Pastel Pink | Available Sizes: XS, S, M, L, XL | Price: INR 7,457 | Offer: Free Express Shipping Across India | Delivery: 3-5 Business Days"
VAS-WOM-113,Mirror Work Navratri Chaniya Choli in Emerald Green,Women Ethnic - Lehenga,Cotton Rayon,Emerald Green,Free Size (Semi-Stitched),"11,770",Free Express Shipping Across India,"Fabric: Cotton Rayon | Color: Emerald Green | Available Sizes: Free Size (Semi-Stitched) | Price: INR 11,770 | Offer: Free Express Shipping Across India | Delivery: 3-5 Business Days"
VAS-WOM-114,Mirror Work Navratri Chaniya Choli in Royal Blue,Women Ethnic - Lehenga,Cotton Rayon,Royal Blue,Custom Tailored Available,"11,391",Free Express Shipping Across India,"Fabric: Cotton Rayon | Color: Royal Blue | Available Sizes: Custom Tailored Available | Price: INR 11,391 | Offer: Free Express Shipping Across India | Delivery: 3-5 Business Days"
VAS-WOM-115,Mirror Work Navratri Chaniya Choli in Mustard Yellow,Women Ethnic - Lehenga,Cotton Rayon,Mustard Yellow,Free Size (Semi-Stitched),"7,536",Free Express Shipping Across India,"Fabric: Cotton Rayon | Color: Mustard Yellow | Available Sizes: Free Size (Semi-Stitched) | Price: INR 7,536 | Offer: Free Express Shipping Across India | Delivery: 3-5 Business Days"
VAS-WOM-116,Mirror Work Navratri Chaniya Choli in Ivory White,Women Ethnic - Lehenga,Cotton Rayon,Ivory White,Free Size (Semi-Stitched),"9,373",Free Express Shipping Across India,"Fabric: Cotton Rayon | Color: Ivory White | Available Sizes: Free Size (Semi-Stitched) | Price: INR 9,373 | Offer: Free Express Shipping Across India | Delivery: 3-5 Business Days"
VAS-WOM-117,Mirror Work Navratri Chaniya Choli in Wine Burgundy,Women Ethnic - Lehenga,Cotton Rayon,Wine Burgundy,"M, L, XL, XXL","4,816",Free Express Shipping Across India,"Fabric: Cotton Rayon | Color: Wine Burgundy | Available Sizes: M, L, XL, XXL | Price: INR 4,816 | Offer: Free Express Shipping Across India | Delivery: 3-5 Business Days"
VAS-WOM-118,Mirror Work Navratri Chaniya Choli in Teal Green,Women Ethnic - Lehenga,Cotton Rayon,Teal Green,Custom Tailored Available,"8,770",Free Express Shipping Across India,"Fabric: Cotton Rayon | Color: Teal Green | Available Sizes: Custom Tailored Available | Price: INR 8,770 | Offer: Free Express Shipping Across India | Delivery: 3-5 Business Days"
VAS-WOM-119,Mirror Work Navratri Chaniya Choli in Gold Metallic,Women Ethnic - Lehenga,Cotton Rayon,Gold Metallic,"S, M, L, XL, XXL, 3XL","8,281",Free Express Shipping Across India,"Fabric: Cotton Rayon | Color: Gold Metallic | Available Sizes: S, M, L, XL, XXL, 3XL | Price: INR 8,281 | Offer: Free Express Shipping Across India | Delivery: 3-5 Business Days"
VAS-WOM-120,Mirror Work Navratri Chaniya Choli in Navy Blue,Women Ethnic - Lehenga,Cotton Rayon,Navy Blue,Custom Tailored Available,"5,167",Free Express Shipping Across India,"Fabric: Cotton Rayon | Color: Navy Blue | Available Sizes: Custom Tailored Available | Price: INR 5,167 | Offer: Free Express Shipping Across India | Delivery: 3-5 Business Days"
VAS-WOM-121,Floral Organza Mehndi Lehenga in Maroon,Women Ethnic - Lehenga,Organza,Maroon,"M, L, XL, XXL","12,969",Flat 15% Festive Discount + Free Latkan,"Fabric: Organza | Color: Maroon | Available Sizes: M, L, XL, XXL | Price: INR 12,969 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-122,Floral Organza Mehndi Lehenga in Pastel Pink,Women Ethnic - Lehenga,Organza,Pastel Pink,"XS, S, M, L, XL","17,559",Flat 15% Festive Discount + Free Latkan,"Fabric: Organza | Color: Pastel Pink | Available Sizes: XS, S, M, L, XL | Price: INR 17,559 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-123,Floral Organza Mehndi Lehenga in Emerald Green,Women Ethnic - Lehenga,Organza,Emerald Green,Custom Tailored Available,"10,515",Flat 15% Festive Discount + Free Latkan,"Fabric: Organza | Color: Emerald Green | Available Sizes: Custom Tailored Available | Price: INR 10,515 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-124,Floral Organza Mehndi Lehenga in Royal Blue,Women Ethnic - Lehenga,Organza,Royal Blue,"S, M, L, XL, XXL, 3XL","9,095",Flat 15% Festive Discount + Free Latkan,"Fabric: Organza | Color: Royal Blue | Available Sizes: S, M, L, XL, XXL, 3XL | Price: INR 9,095 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-125,Floral Organza Mehndi Lehenga in Mustard Yellow,Women Ethnic - Lehenga,Organza,Mustard Yellow,Custom Tailored Available,"19,094",Flat 15% Festive Discount + Free Latkan,"Fabric: Organza | Color: Mustard Yellow | Available Sizes: Custom Tailored Available | Price: INR 19,094 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-126,Floral Organza Mehndi Lehenga in Ivory White,Women Ethnic - Lehenga,Organza,Ivory White,Free Size (Semi-Stitched),"9,123",Flat 15% Festive Discount + Free Latkan,"Fabric: Organza | Color: Ivory White | Available Sizes: Free Size (Semi-Stitched) | Price: INR 9,123 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-127,Floral Organza Mehndi Lehenga in Wine Burgundy,Women Ethnic - Lehenga,Organza,Wine Burgundy,Custom Tailored Available,"19,140",Flat 15% Festive Discount + Free Latkan,"Fabric: Organza | Color: Wine Burgundy | Available Sizes: Custom Tailored Available | Price: INR 19,140 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-128,Floral Organza Mehndi Lehenga in Teal Green,Women Ethnic - Lehenga,Organza,Teal Green,Free Size (Semi-Stitched),"11,387",Flat 15% Festive Discount + Free Latkan,"Fabric: Organza | Color: Teal Green | Available Sizes: Free Size (Semi-Stitched) | Price: INR 11,387 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-129,Floral Organza Mehndi Lehenga in Gold Metallic,Women Ethnic - Lehenga,Organza,Gold Metallic,"S, M, L, XL, XXL, 3XL","19,490",Flat 15% Festive Discount + Free Latkan,"Fabric: Organza | Color: Gold Metallic | Available Sizes: S, M, L, XL, XXL, 3XL | Price: INR 19,490 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-130,Floral Organza Mehndi Lehenga in Navy Blue,Women Ethnic - Lehenga,Organza,Navy Blue,"S, M, L, XL, XXL, 3XL","10,900",Flat 15% Festive Discount + Free Latkan,"Fabric: Organza | Color: Navy Blue | Available Sizes: S, M, L, XL, XXL, 3XL | Price: INR 10,900 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-131,Sequins Partywear Crop Top Lehenga in Maroon,Women Ethnic - Lehenga,Net Georgette,Maroon,"XS, S, M, L, XL","15,107",Flat 15% Festive Discount + Free Latkan,"Fabric: Net Georgette | Color: Maroon | Available Sizes: XS, S, M, L, XL | Price: INR 15,107 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-132,Sequins Partywear Crop Top Lehenga in Pastel Pink,Women Ethnic - Lehenga,Net Georgette,Pastel Pink,Custom Tailored Available,"15,574",Flat 15% Festive Discount + Free Latkan,"Fabric: Net Georgette | Color: Pastel Pink | Available Sizes: Custom Tailored Available | Price: INR 15,574 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-133,Sequins Partywear Crop Top Lehenga in Emerald Green,Women Ethnic - Lehenga,Net Georgette,Emerald Green,"M, L, XL, XXL","21,195",Flat 15% Festive Discount + Free Latkan,"Fabric: Net Georgette | Color: Emerald Green | Available Sizes: M, L, XL, XXL | Price: INR 21,195 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-134,Sequins Partywear Crop Top Lehenga in Royal Blue,Women Ethnic - Lehenga,Net Georgette,Royal Blue,"XS, S, M, L, XL","12,151",Flat 15% Festive Discount + Free Latkan,"Fabric: Net Georgette | Color: Royal Blue | Available Sizes: XS, S, M, L, XL | Price: INR 12,151 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-135,Sequins Partywear Crop Top Lehenga in Mustard Yellow,Women Ethnic - Lehenga,Net Georgette,Mustard Yellow,"S, M, L, XL, XXL, 3XL","23,897",Flat 15% Festive Discount + Free Latkan,"Fabric: Net Georgette | Color: Mustard Yellow | Available Sizes: S, M, L, XL, XXL, 3XL | Price: INR 23,897 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-136,Sequins Partywear Crop Top Lehenga in Ivory White,Women Ethnic - Lehenga,Net Georgette,Ivory White,"XS, S, M, L, XL","14,143",Flat 15% Festive Discount + Free Latkan,"Fabric: Net Georgette | Color: Ivory White | Available Sizes: XS, S, M, L, XL | Price: INR 14,143 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-137,Sequins Partywear Crop Top Lehenga in Wine Burgundy,Women Ethnic - Lehenga,Net Georgette,Wine Burgundy,"S, M, L, XL, XXL, 3XL","24,342",Flat 15% Festive Discount + Free Latkan,"Fabric: Net Georgette | Color: Wine Burgundy | Available Sizes: S, M, L, XL, XXL, 3XL | Price: INR 24,342 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-138,Sequins Partywear Crop Top Lehenga in Teal Green,Women Ethnic - Lehenga,Net Georgette,Teal Green,"M, L, XL, XXL","18,831",Flat 15% Festive Discount + Free Latkan,"Fabric: Net Georgette | Color: Teal Green | Available Sizes: M, L, XL, XXL | Price: INR 18,831 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-139,Sequins Partywear Crop Top Lehenga in Gold Metallic,Women Ethnic - Lehenga,Net Georgette,Gold Metallic,Free Size (Semi-Stitched),"13,799",Flat 15% Festive Discount + Free Latkan,"Fabric: Net Georgette | Color: Gold Metallic | Available Sizes: Free Size (Semi-Stitched) | Price: INR 13,799 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-140,Sequins Partywear Crop Top Lehenga in Navy Blue,Women Ethnic - Lehenga,Net Georgette,Navy Blue,Free Size (Semi-Stitched),"15,603",Flat 15% Festive Discount + Free Latkan,"Fabric: Net Georgette | Color: Navy Blue | Available Sizes: Free Size (Semi-Stitched) | Price: INR 15,603 | Offer: Flat 15% Festive Discount + Free Latkan | Delivery: 3-5 Business Days"
VAS-WOM-141,Anarkali Pure Cotton Kurti Set with Pant & Dupatta in Maroon,Women Festive - Kurti Set,100% Breathable Cotton,Maroon,Free Size (Semi-Stitched),"3,133",Buy 2 Get 10% Extra Discount,"Fabric: 100% Breathable Cotton | Color: Maroon | Available Sizes: Free Size (Semi-Stitched) | Price: INR 3,133 | Offer: Buy 2 Get 10% Extra Discount | Delivery: 3-5 Business Days"
